Date,Open,High,Low,Close,Volume,Log_Return,Hist_Volatility,True_Range,ATR,Weighted_Close,Momentum,MA7,MA30,EMA12,EMA26,MACD,Signal_Line,MACD_Histogram,RSI,Typical_Price,Money_Flow,Money_Flow_Positive,Money_Flow_Negative,Money_Flow_Pos_14,Money_Flow_Neg_14,Money_Flow_Index,Rolling_Mean,Bollinger_High,Bollinger_Low,Pct_Change_Close,Pct_Change_Volume
2019-01-30,3443.89697265625,3495.1748046875,3429.387939453125,3486.181640625,5955112627,0.010978782970954,0.41655963886613717,65.786865234375,74.22208077566964,3474.2315063476562,-116.27880859375,3541.6866629464284,3709.68037109375,3565.2755332163842,3645.8235988674714,-80.5480656510872,-69.12497608027189,-11.423089570815307,33.99731556049245,3470.2481282552085,20665718447395.707,20665718447395.707,0.0,157659832090014.3,121018645020306.16,56.57409704718657,3605.8439331054688,3756.680269740939,3455.0075964699986,1.103927096757329,0.9827296356625714
2019-01-31,3485.4091796875,3504.804931640625,3447.915771484375,3457.792724609375,5831198271,-0.008176606850343018,0.27781690953733706,56.88916015625,74.13023158482143,3467.0765380859375,-126.173095703125,3521.2476981026784,3696.822794596354,3548.7397165076136,3631.895385959464,-83.15566945185037,-71.9311147545876,-11.224554697262775,29.263375238661325,3470.171142578125,20235255966675.656,0.0,20235255966675.656,137658849697057.83,141253900986981.8,49.35552403375123,3594.3652954101562,3753.777582884743,3434.9530079355695,-0.8143269325041613,-2.0808062544137695
2019-02-01,3460.547119140625,3501.9541015625,3431.591552734375,3487.9453125,5422926707,0.00868238253365107,0.28020844732512773,70.362548828125,75.91047014508929,3477.3590698242188,17.494873046875,3505.2733328683034,3681.640657552083,3539.386731275673,3621.2324175550593,-81.84568627938643,-73.91402905954737,-7.931657219839053,34.31988528207199,3473.830322265625,18838327230200.676,18838327230200.676,0.0,156497176927258.53,122947329950740.89,56.00295338622722,3585.697509765625,3748.599177422056,3422.795842109194,0.8720183739189036,-7.001503722321301
2019-02-02,3484.6259765625,3523.287353515625,3467.57470703125,3521.060791015625,5071623601,0.009449478125773406,0.28274965431380855,55.712646484375,72.30740792410714,3508.2459106445312,72.94384765625,3493.6448102678573,3671.1179768880206,3536.5673558510503,3613.8122970706568,-77.24494121960652,-74.58021149155921,-2.6647297280473055,29.41950455775293,3503.9742838541665,17770838675291.863,17770838675291.863,0.0,152153581121439.0,122947329950740.89,55.308279615808885,3584.102893066406,3748.966717526192,3419.23906860662,0.9494265405179059,-6.478109054037784
2019-02-03,3516.1396484375,3521.38818359375,3447.92431640625,3464.013427734375,5043937584,-0.016334438234447555,0.26920069551291004,73.4638671875,66.09994070870536,3474.3348388671875,-22.168212890625,3476.5087541852677,3657.9945068359375,3525.4052130638693,3602.7160845272288,-77.31087146335949,-75.12634348591928,-2.1845279774402115,34.203063376019415,3477.7753092447915,17541681591007.027,0.0,17541681591007.027,152153581121439.0,120154940059692.69,55.875438807965494,3572.0009521484376,3734.692832982287,3409.309071314588,-1.620175471744556,-0.5459004685312463
2019-02-04,3467.211669921875,3476.223876953125,3442.5869140625,3459.154052734375,5332718886,-0.0014038013125416823,0.21817797410612497,33.636962890625,64.90945870535714,3459.2797241210938,1.361328125,3474.8949846540177,3645.1264892578124,3515.2127268593313,3592.0818599499803,-76.86913309064903,-75.47490140686523,-1.3942316837838007,35.867430741454044,3459.3216145833335,18447589706836.555,0.0,18447589706836.555,152153581121439.0,120681278352920.97,55.7676469255344,3563.4248901367187,3731.1005457579563,3395.749234515481,-0.14028164443861124,5.7253147405322835
2019-02-05,3454.950927734375,3478.148193359375,3451.93701171875,3466.357421875,5227549545,0.0020802425249583987,0.20952510619308598,26.211181640625,60.994175502232146,3465.7000122070312,-21.587890625,3477.5007672991073,3624.783984375,3507.6965260925112,3582.768938611093,-75.07241251858159,-75.39440362920851,0.3219911106269251,32.37739617210106,3465.4808756510415,18115972974715.805,18115972974715.805,0.0,151202421570973.3,120681278352920.97,55.61290419885337,3553.9924194335936,3721.199984482064,3386.7848543851233,0.20824077305636735,-1.9721523532039376
2019-02-06,3469.091796875,3469.091796875,3398.5654296875,3413.767822265625,5482196038,-0.015287693750092953,0.21159641452571534,70.5263671875,61.906494140625,3423.7982177734375,-107.29296875,3467.155936104911,3604.401302083333,3493.24595627299,3570.250337400317,-77.00438112732718,-75.71639912883225,-1.287981998494928,29.854853662526864,3427.1416829427085,18788262555893.168,0.0,18788262555893.168,131688890565469.45,139469540908814.14,48.56529441090188,3540.7526123046873,3708.3619792478485,3373.143245361526,-1.5171430181290635,4.87124016344449
2019-02-07,3414.929443359375,3427.945556640625,3394.218505859375,3399.4716796875,5004962683,-0.004196583300843028,0.20865508194077606,33.72705078125,60.958809988839285,3405.27685546875,-64.541748046875,3458.8243582589284,3583.355428059896,3478.819144490607,3557.6000664586268,-78.78092196801981,-76.32930369666977,-2.4516182713500427,26.24261927952763,3407.2119140625,17052968482955.816,0.0,17052968482955.816,112767041964555.52,156522509391769.94,41.87575841564738,3527.834228515625,3697.2633493368166,3358.4051076944334,-0.41877899501193694,-8.705149390719402
2019-02-08,3401.37646484375,3695.614013671875,3391.023681640625,3666.7802734375,7735623101,0.07569393609415692,0.345049462377208,304.59033203125,80.04881068638393,3605.049560546875,207.626220703125,3484.3722098214284,3571.0715576171874,3507.7362412516673,3565.6874891978027,-57.95124794613548,-72.65369254656291,14.702444600427427,54.85566440226669,3584.47265625,27728129484590.332,27728129484590.332,0.0,121558672884264.27,156522509391769.94,43.71337603261497,3524.74482421875,3680.460828801331,3369.0288196361694,7.863239318839477,54.55905649956272
2019-02-09,3671.5859375,3679.94140625,3646.559326171875,3671.20361328125,6158833645,0.0012056010064354034,0.33810538922597577,33.382080078125,78.03416224888393,3667.2269897460938,204.84619140625,3505.8211844308034,3570.8141927083334,3532.885067717757,3573.503498389169,-40.61843067141217,-66.24664017153276,25.62820950012059,54.968478082880196,3665.9014485677085,22577677180693.04,22577677180693.04,0.0,125696663992887.42,156522509391769.94,44.538669178782605,3528.2543212890623,3694.045826545471,3362.462816032654,0.12063280354683847,-20.383483468786956
